Family,coeff_a,coeff_a_low95,coeff_a_high95,coeff_b,coeff_b_95
Acanthuridae,0.037567332765153914,0.030009759146567106,0.047028185,2.9180045665727254,0.061463543
Aulostomidae,0.001555963,0.001048689,0.002308619,3.284215654560308,0.10330919421838591
Balistidae,0.066371897,0.063601789,0.069262654,2.667782565572228,0.011665979668993439
Carangidae,0.051592575,0.049581476,0.053685247,2.8024676984286825,0.010880171063827711
Chaetodontidae,0.040708433,0.033620392437619356,0.049290814,2.885111271249905,0.052348562
Diodontidae,0.23854788937519397,0.21944956579257138,0.25930830767351687,2.390127166712664,0.022834856
Fistularidae,4.967367091852319e-4,3.6093869583954445e-4,6.836267795511331e-4,3.0932981436760607,0.080797976
Haemulidae,0.046311211,0.032715255990114704,0.065557435,2.7703283260861773,0.095102555
Holocentridae,0.040615128880955156,0.033491125105371417,0.049254502,2.885825532028076,0.052774811257133826
Labridae,0.034792694,0.033828749,0.035784106,3.0324554029128286,0.007688382
Lethrinidae,0.046007919,0.031924265,0.066304694,2.7690740020758797,0.10000202172514275
Lutjanidae,0.017279544934612014,0.016847147992967538,0.017723039725887867,3.012160840857757,0.006635499
Mullidae,0.012235163111082402,0.010901848766790633,0.013731544030477426,3.084498355443498,0.030211249439209078
Muraenidae,0.003660504,0.002000915,0.006696584,2.849582437147502,0.1581489917871551
Pempheridae,0.038669141,0.023309091486524304,0.064151039,2.8213013136086156,0.13851760186742343
Penguipedidae,0.004371363,0.003659744,0.005221352,3.283375515516323,0.046523724
Pomacanthidae,0.049736442083117643,0.046927717462560255,0.052713274901147425,2.8169580589902843,0.015906701713940825
Pomacentridae,0.044785756,0.041086418406634746,0.048818174106727244,2.864354730171463,0.023591446
Scaridae,0.033665006,0.021534206,0.052629414,2.911971192399908,0.12226810252750202
Scorpaenidae,0.038530173,0.025946518,0.057216703,2.855239643445389,0.1081995601719038
Serranidae,0.040816942,0.030671235381699358,0.054318736,2.8558244837041076,0.078199475
Siganidae,0.046418929482804905,0.040015244,0.053847404,2.8274391974348885,0.040621431
Sphyraenidae,0.011771314984864898,0.011191954318891743,0.012380666729403328,2.8921154619313802,0.013215068861251879
Others,0.044119963,0.034051662702634135,0.05716523,2.8220504172232865,0.070882676
